township,program,count
Andover,CADAP,0
Andover,CHCPE,0
Andover,CHIP,32
Andover,Medicaid,461
Andover,MSP,117
Andover,SAGA,6
Andover,SAGA Funeral,0
Andover,SNAP,211
Andover,Social Work Services,0
Andover,State Supplement,6
Andover,TFA,14
Ansonia,CADAP,12
Ansonia,CHCPE,27
Ansonia,CHIP,234
Ansonia,Medicaid,"7,809"
Ansonia,MSP,"1,200"
Ansonia,SAGA,68
Ansonia,SAGA Funeral,7
Ansonia,SNAP,"4,287"
Ansonia,Social Work Services,7
Ansonia,State Funded Medical,0
Ansonia,State Supplement,81
Ansonia,TFA,328
Ashford,CHCPE,5
Ashford,CHIP,44
Ashford,Medicaid,"1,018"
Ashford,MSP,180
Ashford,SAGA,7
Ashford,SAGA Funeral,0
Ashford,SNAP,391
Ashford,Social Work Services,113
Ashford,State Funded Medical,0
Ashford,State Supplement,15
Ashford,TFA,26
Avon,CADAP,0
Avon,CHCPE,21
Avon,CHIP,62
Avon,Medicaid,"1,598"
Avon,MSP,509
Avon,SAGA,17
Avon,SAGA Funeral,6
Avon,SNAP,390
Avon,Social Work Services,0
Avon,State Funded Medical,5
Avon,State Supplement,25
Avon,TFA,14
Barkhamsted,CHCPE,6
Barkhamsted,CHIP,27
Barkhamsted,Medicaid,533
Barkhamsted,MSP,119
Barkhamsted,SAGA,0
Barkhamsted,SNAP,171
Barkhamsted,State Supplement,8
Barkhamsted,TFA,6
Beacon Falls,CADAP,0
Beacon Falls,CHCPE,9
Beacon Falls,CHIP,42
Beacon Falls,Medicaid,949
Beacon Falls,MSP,245
Beacon Falls,SAGA,8
Beacon Falls,SNAP,365
Beacon Falls,State Funded Medical,0
Beacon Falls,State Supplement,11
Beacon Falls,TFA,33
Berlin,CADAP,10
Berlin,CHCPE,40
Berlin,CHIP,158
Berlin,Medicaid,"2,698"
Berlin,MSP,"1,092"
Berlin,SAGA,27
Berlin,SAGA Funeral,7
Berlin,SNAP,"1,095"
Berlin,Social Work Services,7
Berlin,State Funded Medical,0
Berlin,State Supplement,71
Berlin,TFA,88
Bethany,CADAP,0
Bethany,CHCPE,8
Bethany,CHIP,39
Bethany,Medicaid,603
Bethany,MSP,146
Bethany,SAGA,5
Bethany,SNAP,159
Bethany,Social Work Services,0
Bethany,State Funded Medical,0
Bethany,State Supplement,13
Bethany,TFA,6
Bethel,CADAP,0
Bethel,CHCPE,33
Bethel,CHIP,237
Bethel,Medicaid,"3,684"
Bethel,MSP,775
Bethel,SAGA,14
Bethel,SAGA Funeral,0
Bethel,SNAP,"1,066"
Bethel,Social Work Services,0
Bethel,State Funded Medical,0
Bethel,State Supplement,41
Bethel,TFA,42
Bethlehem,CADAP,0
Bethlehem,CHCPE,5
Bethlehem,CHIP,33
Bethlehem,Medicaid,549
Bethlehem,MSP,153
Bethlehem,SAGA,5
Bethlehem,SNAP,156
Bethlehem,State Funded Medical,0
Bethlehem,State Supplement,9
Bethlehem,TFA,0
Bloomfield,CADAP,19
Bloomfield,CHCPE,69
Bloomfield,CHIP,193
Bloomfield,Medicaid,"5,999"
Bloomfield,MSP,"1,713"
Bloomfield,SAGA,74
Bloomfield,SAGA Funeral,16
Bloomfield,SNAP,"2,913"
Bloomfield,Social Work Services,14
Bloomfield,State Funded Medical,10
Bloomfield,State Supplement,183
Bloomfield,TFA,205
Bolton,CADAP,0
Bolton,CHCPE,0
Bolton,CHIP,33
