,Clinic - Ambulatory Surgical Center January 2020,,,,,,,
,-------------------------------------------------------------------------------------,,,,,,,
Procedure Code,Proc description,Mod1,Mod1 desc,Rate Type,Max Fee,Effective Date,End Date,PA 
10121,Remove foreign body,  ,                                        ,ASC,446,10/1/08,12/31/99, 
10180,Complex drainage wound,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11010,Debride skin at fx site,  ,                                        ,ASC,251.52,10/1/08,12/31/99, 
11011,Debride skin musc at fx site,  ,                                        ,ASC,251.52,10/1/08,12/31/99, 
11012,Deb skin bone at fx site,  ,                                        ,ASC,251.52,10/1/08,12/31/99, 
11042,Deb subq tissue 20 sq cm/<,  ,                                        ,ASC,164.42,10/1/08,12/31/99, 
11043,Deb musc/fascia 20 sq cm/<,  ,                                        ,ASC,164.42,10/1/08,12/31/99, 
11044,Deb bone 20 sq cm/<,  ,                                        ,ASC,423.1,10/1/08,12/31/99, 
11404,Exc tr-ext b9+marg 3.1-4 cm,  ,                                        ,ASC,333,10/1/08,12/31/99, 
11406,Exc tr-ext b9+marg >4.0 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11424,Exc h-f-nk-sp b9+marg 3.1-4,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11426,Exc h-f-nk-sp b9+marg >4 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11444,Exc face-mm b9+marg 3.1-4 cm,  ,                                        ,ASC,333,10/1/08,12/31/99, 
11446,Exc face-mm b9+marg >4 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11450,Removal sweat gland lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11451,Removal sweat gland lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11462,Removal sweat gland lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11463,Removal sweat gland lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11470,Removal sweat gland lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11471,Removal sweat gland lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11604,Exc tr-ext mal+marg 3.1-4 cm,  ,                                        ,ASC,418.49,10/1/08,12/31/99, 
11606,Exc tr-ext mal+marg >4 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11624,Exc s/n/h/f/g mal+mrg 3.1-4,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11626,Exc s/n/h/f/g mal+mrg >4 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11644,Exc f/e/e/n/l mal+mrg 3.1-4,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11646,Exc f/e/e/n/l mal+mrg >4 cm,  ,                                        ,ASC,446,10/1/08,12/31/99, 
11770,Remove pilonidal cyst simple,  ,                                        ,ASC,510,10/1/08,12/31/99, 
11771,Remove pilonidal cyst exten,  ,                                        ,ASC,510,10/1/08,12/31/99, 
11772,Remove pilonidal cyst compl,  ,                                        ,ASC,510,10/1/08,12/31/99, 
11960,Insert tissue expander(s),  ,                                        ,ASC,446,10/1/08,12/31/99, 
11970,Replace tissue expander,  ,                                        ,ASC,510,10/1/08,12/31/99, 
11971,Remove tissue expander(s),  ,                                        ,ASC,333,10/1/08,12/31/99, 
12005,Rpr s/n/a/gen/trk12.6-20.0cm,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12006,Rpr s/n/a/gen/trk20.1-30.0cm,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12007,Rpr s/n/ax/gen/trnk >30.0 cm,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12016,Rpr fe/e/en/l/m 12.6-20.0 cm,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12017,Rpr fe/e/en/l/m 20.1-30.0 cm,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12018,Rpr f/e/e/n/l/m >30.0 cm,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12020,Closure of split wound,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12021,Closure of split wound,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12034,Intmd rpr s/tr/ext 7.6-12.5,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12035,Intmd rpr s/a/t/ext 12.6-20,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12036,Intmd rpr s/a/t/ext 20.1-30,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12037,Intmd rpr s/tr/ext >30.0 cm,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
12044,Intmd rpr n-hf/genit7.6-12.5,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12045,Intmd rpr n-hf/genit12.6-20,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12046,Intmd rpr n-hf/genit20.1-30,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12047,Intmd rpr n-hf/genit >30.0cm,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
12054,Intmd rpr face/mm 7.6-12.5cm,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12055,Intmd rpr face/mm 12.6-20 cm,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12056,Intmd rpr face/mm 20.1-30.0,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
12057,Intmd rpr face/mm >30.0 cm,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
13100,Cmplx rpr trunk 1.1-2.5 cm,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
13101,Cmplx rpr trunk 2.6-7.5 cm,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
13102,Cmplx rpr trunk addl 5cm/<,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
13120,Cmplx rpr s/a/l 1.1-2.5 cm,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
13121,Cmplx rpr s/a/l 2.6-7.5 cm,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
13122,Cmplx rpr s/a/l addl 5 cm/>,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
