"HCPCS CODE","MODIFIER","SHORT DESCRIPTION","PROC STAT","MAC LOCALITY","NON-FACILITY PRICE","FACILITY PRICE","NON-FACILITY LIMITING CHARGE","FACILITY LIMITING CHARGE","CONV FACT","GPCI WORK","GPCI PE","GPCI MP","PROC STAT","PCTC","NOT USED FOR MEDICARE","WORK RVU","NA FLAG FOR NON-FAC PE RVU","NON-FACILITY PE RVU","NA FLAG FOR TRANS NON-FAC PE RVU","TRANSITIONED NON-FAC PE RVU","NA FLG FOR FULLY IMP NON-FAC PE RVU","FULLY IMPLEMENTED NON-FAC PE RVU","NA FLAG FOR TRANS FACILITY PE RVU","NA FLAG FOR FACILITY PE RVU","FACILITY PE RVU","TRANSITIONED FACILITY PE RVU","NA FLAG FOR FULLY IMP FAC PE RVU","FULLY IMPLEMENTED FACILITY PE RVU","MP RVU","NON-FACILITY TOTAL","TRANSITIONED NON-FAC TOTAL","FACILITY TOTAL","TRANSITIONED FACILITY TOTAL","FULLY IMPLEMENTED NON-FAC TOTAL","FULLY IMPLEMENTED FACILITY TOTAL","PCTC","GLOBAL","PRE OP","INTRA OP","POST OP","MULT SURG","BILT SURG","ASST SURG","CO SURG","TEAM SURG","PHYS SUPV","ENDOBASE","CONV FACT","NOT USED FOR MEDICARE","DIAG IMAGING FAMILY IND","OPPS NON-FACILITY PAYMENT AMOUNT<sup>1</sup>","OPPS FACILITY PAYMENT AMOUNT<sup>1</sup>","NON-FAC PE USED FOR OPPS PMT AMT","FACILITY PE USED FOR OPPS PMT AMT","MALPRACTICE USED FOR OPPS PMT AMT",
"A4890","","Repair/maint cont hemo equip  ","R","1310200","$0.00","$0.00","$0.00","$0.00","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$0.00","$0.00","","","",
"D0150","","Comprehensve oral evaluation  ","R","1310200","$0.00","$0.00","$0.00","$0.00","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$0.00","$0.00","","","",
"D0240","","Intraoral occlusal film       ","R","1310200","$0.00","$0.00","$0.00","$0.00","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$0.00","$0.00","","","",
"D0250","","Extraoral 2d project image    ","R","1310200","$0.00","$0.00","$0.00","$0.00","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$0.00","$0.00","","","",
"D0251","","Extraoral posterior image     ","R","1310200","$0.00","$0.00","$0.00","$0.00","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$0.00","$0.00","","","",
"D0270","","Dental bitewing single image  ","R","1310200","$0.00","$0.00","$0.00","$0.00","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$0.00","$0.00","","","",
"D0272","","Dental bitewings two images   ","R","1310200","$0.00","$0.00","$0.00","$0.00","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$0.00","$0.00","","","",
"D0274","","Bitewings four images         ","R","1310200","$0.00","$0.00","$0.00","$0.00","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$0.00","$0.00","","","",
"D0277","","Vert bitewings 7 to 8 images  ","R","1310200","$0.00","$0.00","$0.00","$0.00","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$0.00","$0.00","","","",
"D0416","","Viral culture                 ","R","1310200","$0.00","$0.00","$0.00","$0.00","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$0.00","$0.00","","","",
