State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
TN,Tennessee,12/01/2018,N,U,Y,,,N/A,,,,,,,,,,,,1396302,,41.6772,-71.5101,"(41.6772, -71.5101)",1342027,,54275,
ID,Idaho,12/01/2018,N,U,Y,14639,,,,14639,,7604,,676,,8280,,202303,,280570,,42.0046,-93.214,"(42.0046, -93.214)",256565,,24005,
MA,Massachusetts,12/01/2018,Y,U,Y,16180,,4462,,20642,,,,,,,,685233,,1598878,,31.1801,-91.8749,"(31.1801, -91.8749)",1407486,,191392,
NM,New Mexico,12/01/2018,Y,U,Y,10579,,N/A,,10579,,17859,,1751,,19610,,330359,,728327,,43.4108,-71.5653,"(43.4108, -71.5653)",691223,,37104,
HI,Hawaii,12/01/2018,Y,U,Y,4822,,N/A,,4822,,6099,,474,,6573,,140392,,331075,,32.9866,-83.6487,"(32.9866, -83.6487)",305872,,25203,
IA,Iowa,12/01/2018,Y,U,Y,13580,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13580,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1222,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1222,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,336471,,673062,,21.1098,-157.5311,"(21.1098, -157.5311)",600368,,72694,
MS,Mississippi,12/01/2018,N,U,Y,17962,,N/A,,17962,,11701,,963,,12664,,420209,,620567,,38.4623,-92.302,"(38.4623, -92.302)",544645,,75922,
WY,Wyoming,12/01/2018,N,U,Y,1515,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1515,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,629,,34,,663,,38918,,58118,,44.0407,-72.7093,"(44.0407, -72.7093)",53500,,4618,
WV,West Virginia,12/01/2018,Y,U,Y,19569,,N/A,,19569,,10569,,586,,11155,,217920,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),520656,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",487267,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33389,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
NY,New York,12/01/2018,Y,U,Y,,,1061843,Includes Renewals and/or Redeterminations,1061843,Includes Renewals and/or Redeterminations,121202,Includes Renewals and/or Redeterminations,8562,Includes Renewals and/or Redeterminations,129764,Includes Renewals and/or Redeterminations,2526993,,6212828,,34.8375,-106.2371,"(34.8375, -106.2371)",5568617,,644211,
