"HCPCS CODE","MODIFIER","SHORT DESCRIPTION","PROC STAT","MAC LOCALITY","NON-FACILITY PRICE","FACILITY PRICE","NON-FACILITY LIMITING CHARGE","FACILITY LIMITING CHARGE","CONV FACT","GPCI WORK","GPCI PE","GPCI MP","PROC STAT","PCTC","NOT USED FOR MEDICARE","WORK RVU","NA FLAG FOR NON-FAC PE RVU","NON-FACILITY PE RVU","NA FLAG FOR TRANS NON-FAC PE RVU","TRANSITIONED NON-FAC PE RVU","NA FLG FOR FULLY IMP NON-FAC PE RVU","FULLY IMPLEMENTED NON-FAC PE RVU","NA FLAG FOR TRANS FACILITY PE RVU","NA FLAG FOR FACILITY PE RVU","FACILITY PE RVU","TRANSITIONED FACILITY PE RVU","NA FLAG FOR FULLY IMP FAC PE RVU","FULLY IMPLEMENTED FACILITY PE RVU","MP RVU","NON-FACILITY TOTAL","TRANSITIONED NON-FAC TOTAL","FACILITY TOTAL","TRANSITIONED FACILITY TOTAL","FULLY IMPLEMENTED NON-FAC TOTAL","FULLY IMPLEMENTED FACILITY TOTAL","PCTC","GLOBAL","PRE OP","INTRA OP","POST OP","MULT SURG","BILT SURG","ASST SURG","CO SURG","TEAM SURG","PHYS SUPV","ENDOBASE","CONV FACT","NOT USED FOR MEDICARE","DIAG IMAGING FAMILY IND","OPPS NON-FACILITY PAYMENT AMOUNT<sup>1</sup>","OPPS FACILITY PAYMENT AMOUNT<sup>1</sup>","NON-FAC PE USED FOR OPPS PMT AMT","FACILITY PE USED FOR OPPS PMT AMT","MALPRACTICE USED FOR OPPS PMT AMT",
"10021","","Fna w/o image                 ","A","1328299","$118.79","$68.17","$129.77","$74.48","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$45.72","$45.72","","","",
"10022","","Fna w/image                   ","A","1328299","$137.42","$64.92","$150.13","$70.92","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$45.72","$45.72","","","",
"10030","","Guide cathet fluid drainage   ","A","1328299","$550.32","$137.87","$601.22","$150.62","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$99.00","$99.00","","","",
"10035","","Perq dev soft tiss 1st imag   ","A","1328299","$503.96","$86.04","$550.58","$94.00","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$61.20","$61.20","","","",
"10036","","Perq dev soft tiss add imag   ","A","1328299","$441.81","$42.70","$482.68","$46.65","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$30.60","$30.60","","","",
"10040","","Acne surgery                  ","A","1328299","$107.02","$70.09","$116.92","$76.57","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$32.76","$32.76","","","",
"10060","","Drainage of skin abscess      ","A","1328299","$116.13","$95.95","$126.87","$104.83","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$43.92","$43.92","","","",
"10061","","Drainage of skin abscess      ","A","1328299","$201.46","$176.49","$220.09","$192.82","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$88.20","$88.20","","","",
"10080","","Drainage of pilonidal cyst    ","A","1328299","$175.00","$100.44","$191.18","$109.73","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$43.92","$43.92","","","",
"10081","","Drainage of pilonidal cyst    ","A","1328299","$262.81","$166.71","$287.12","$182.13","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$90.00","$90.00","","","",
"10120","","Remove foreign body           ","A","1328299","$150.20","$101.98","$164.09","$111.41","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$43.92","$43.92","","","",
"10121","","Remove foreign body           ","A","1328299","$267.73","$181.55","$292.50","$198.34","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$98.64","$98.64","","","",
"10140","","Drainage of hematoma/fluid    ","A","1328299","$160.68","$116.57","$175.55","$127.35","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$56.88","$56.88","","","",
"10160","","Puncture drainage of lesion   ","A","1328299","$127.09","$93.57","$138.84","$102.23","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$45.00","$45.00","","","",
"10180","","Complex drainage wound        ","A","1328299","$239.20","$173.19","$261.33","$189.21","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$82.80","$82.80","","","",
"11000","","Debride infected skin         ","A","1328299","$53.79","$28.48","$58.77","$31.12","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$21.60","$21.60","","","",
"11001","","Debride infected skin add-on  ","A","1328299","$21.02","$14.18","$22.96","$15.49","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$10.80","$10.80","","","",
