,PROC_CODE,SHORT DESCRIPTION,MDCAID_PFS_AMT,MDCARE_PFS_AMT,PP_PFS_AMT,EST_PFS_AMT_BS,PFS_AMT_BY_Fairfield,PFS_AMT_BY_Hartford,PFS_AMT_BY_Litchfield,PFS_AMT_BY_Middlesex,PFS_AMT_BY_New_Haven,PFS_AMT_BY_New_London,PFS_AMT_BY_Tolland,PFS_AMT_BY_Windham
0,10121,Remove foreign body           ,446.0,306.48,306.48,339.91,341.86,352.68,340.75,335.85,354.89,347.56,329.96,353.63
1,10180,Complex drainage wound        ,446.0,277.66,277.66,317.99,320.35,333.4,319.01,313.1,336.07,327.22,305.99,334.55
2,11010,Debride skin at fx site       ,251.52,568.1,568.1,492.25,487.82,463.28,490.33,501.46,458.25,474.89,514.82,461.12
3,11011,Debride skin musc at fx site  ,251.52,608.45,608.45,522.94,517.94,490.27,520.77,533.32,484.6,503.36,548.38,487.83
4,11012,Deb skin bone at fx site      ,251.52,795.03,795.03,664.82,657.2,615.07,661.51,680.62,606.43,635.01,703.55,611.36
5,11042,Deb subq tissue 20 sq cm/<    ,164.42,131.41,131.41,139.32,139.78,142.34,139.52,138.36,142.86,141.13,136.97,142.57
6,11043,Deb musc/fascia 20 sq cm/<    ,164.42,254.52,254.52,232.93,231.67,224.69,232.39,235.55,223.26,227.99,239.36,224.07
7,11044,Deb bone 20 sq cm/<           ,423.1,347.75,347.75,365.8,366.86,372.7,366.26,363.61,373.9,369.93,360.43,373.21
8,11404,Exc tr-ext b9+marg 3.1-4 cm   ,333.0,244.44,244.44,265.66,266.9,273.76,266.2,263.08,275.17,270.51,259.35,274.37
9,11406,Exc tr-ext b9+marg >4.0 cm    ,446.0,351.96,351.96,374.49,375.81,383.1,375.06,371.76,384.59,379.65,367.79,383.74
10,11424,Exc h-f-nk-sp b9+marg 3.1-4   ,446.0,261.0,261.0,305.32,307.91,322.26,306.45,299.94,325.19,315.47,292.14,323.52
11,11426,Exc h-f-nk-sp b9+marg >4 cm   ,446.0,373.11,373.11,390.57,391.59,397.24,391.02,388.45,398.4,394.57,385.38,397.74
12,11444,Exc face-mm b9+marg 3.1-4 cm  ,333.0,313.18,313.18,317.93,318.21,319.74,318.05,317.35,320.06,319.02,316.52,319.88
13,11446,Exc face-mm b9+marg >4 cm     ,446.0,434.19,434.19,437.02,437.18,438.1,437.09,436.68,438.29,437.67,436.18,438.18
14,11450,Removal sweat gland lesion    ,446.0,432.65,432.65,435.85,436.04,437.07,435.93,435.46,437.28,436.58,434.9,437.16
15,11451,Removal sweat gland lesion    ,446.0,546.66,546.66,522.54,521.13,513.33,521.93,525.47,511.73,517.02,529.72,512.64
