,PROC_CODE,SHORT DESCRIPTION,MDCAID_PFS_AMT,MDCARE_PFS_AMT,PP_PFS_AMT,EST_PFS_AMT_BS,PFS_AMT_BY_Albany,PFS_AMT_BY_Allegany,PFS_AMT_BY_Broome,PFS_AMT_BY_Cattaraugus,PFS_AMT_BY_Chautauqua,PFS_AMT_BY_Chemung,PFS_AMT_BY_Columbia,PFS_AMT_BY_Cortland,PFS_AMT_BY_Dutchess,PFS_AMT_BY_Erie,PFS_AMT_BY_Fulton,PFS_AMT_BY_Genesee,PFS_AMT_BY_Greene,PFS_AMT_BY_Hamilton,PFS_AMT_BY_Herkimer,PFS_AMT_BY_Lewis,PFS_AMT_BY_Livingston,PFS_AMT_BY_Monroe,PFS_AMT_BY_Montgomery,PFS_AMT_BY_Nassau,PFS_AMT_BY_Niagara,PFS_AMT_BY_Oneida,PFS_AMT_BY_Onondaga,PFS_AMT_BY_Ontario,PFS_AMT_BY_Orange,PFS_AMT_BY_Orleans,PFS_AMT_BY_Oswego,PFS_AMT_BY_Otsego,PFS_AMT_BY_Putnam,PFS_AMT_BY_Rensselaer,PFS_AMT_BY_Rockland,PFS_AMT_BY_Saratoga,PFS_AMT_BY_Schenectady,PFS_AMT_BY_Schoharie,PFS_AMT_BY_Schuyler,PFS_AMT_BY_Seneca,PFS_AMT_BY_Steuben,PFS_AMT_BY_Suffolk,PFS_AMT_BY_Sullivan,PFS_AMT_BY_Tioga,PFS_AMT_BY_Tompkins,PFS_AMT_BY_Ulster,PFS_AMT_BY_Warren,PFS_AMT_BY_Washington,PFS_AMT_BY_Wayne,PFS_AMT_BY_Westchester
0,10021,Fna w/o image                 ,81.61,118.79,118.79,106.97,113.41,112.29,112.06,111.77,111.11,111.89,112.82,112.58,114.11,111.92,111.18,113.13,112.59,113.78,111.76,112.77,113.83,111.88,110.16,114.23,112.11,110.84,111.92,113.94,111.27,111.91,111.15,113.31,115.53,113.11,109.02,115.23,111.3,112.97,112.22,113.11,112.19,113.39,109.67,112.99,114.93,112.8,113.16,112.28,112.63,113.43
1,10030,Guide cathet fluid drainage   ,504.97,550.32,550.32,535.9,543.76,542.39,542.11,541.76,540.96,541.9,543.03,542.74,544.61,541.94,541.04,543.42,542.76,544.2,541.75,542.98,544.27,541.89,539.8,544.76,542.17,540.62,541.94,544.4,541.14,541.93,541.0,543.64,546.34,543.39,538.4,545.98,541.19,543.23,542.3,543.39,542.27,543.74,539.2,543.24,545.61,543.01,543.45,542.38,542.81,543.79
2,10035,Perq dev soft tiss 1st imag   ,349.63,503.96,503.96,454.9,481.63,476.97,476.03,474.82,472.1,475.32,479.17,478.17,484.52,475.43,472.38,480.48,478.24,483.15,474.79,478.97,483.39,475.26,468.15,485.04,476.23,470.95,475.46,483.83,472.73,475.42,472.23,481.23,490.42,480.38,463.39,489.18,472.88,479.82,476.67,480.38,476.56,481.56,466.1,479.87,487.93,479.1,480.58,476.95,478.4,481.73
3,10036,Perq dev soft tiss add imag   ,304.15,441.81,441.81,398.05,421.89,417.74,416.89,415.82,413.39,416.26,419.7,418.8,424.47,416.36,413.64,420.87,418.87,423.24,415.79,419.52,423.46,416.21,409.87,424.94,417.07,412.36,416.38,423.85,413.96,416.35,413.51,421.54,429.73,420.78,405.62,428.62,414.09,420.27,417.47,420.78,417.37,421.83,408.04,420.32,427.51,419.63,420.96,417.72,419.01,421.98
4,10040,Acne surgery                  ,54.25,107.02,107.02,90.24,99.38,97.79,97.47,97.06,96.12,97.23,98.54,98.2,100.37,97.27,96.22,98.99,98.23,99.9,97.05,98.48,99.99,97.21,94.77,100.55,97.54,95.73,97.27,100.14,96.34,97.26,96.17,99.25,102.39,98.96,93.15,101.97,96.39,98.76,97.69,98.96,97.65,99.36,94.08,98.78,101.54,98.52,99.03,97.79,98.28,99.42
5,10060,Drainage of skin abscess      ,60.5,116.13,116.13,98.44,108.08,106.4,106.06,105.63,104.64,105.8,107.19,106.83,109.12,105.85,104.75,107.67,106.86,108.63,105.62,107.12,108.71,105.79,103.22,109.31,106.13,104.23,105.86,108.87,104.87,105.84,104.69,107.94,111.25,107.63,101.51,110.8,104.93,107.43,106.29,107.63,106.25,108.06,102.48,107.45,110.35,107.17,107.7,106.4,106.92,108.12
6,10061,Drainage of skin abscess      ,103.19,201.46,201.46,170.22,187.24,184.27,183.67,182.91,181.17,183.22,185.67,185.04,189.08,183.3,181.35,186.51,185.08,188.21,182.89,185.55,188.36,183.19,178.66,189.41,183.8,180.44,183.31,188.64,181.58,183.29,181.25,186.99,192.84,186.45,175.63,192.05,181.67,186.09,184.08,186.44,184.01,187.2,177.35,186.12,191.25,185.63,186.58,184.26,185.18,187.31
7,10080,Drainage of pilonidal cyst    ,97.93,175.0,175.0,150.5,163.85,161.52,161.05,160.45,159.09,160.7,162.62,162.12,165.29,160.75,159.23,163.27,162.16,164.61,160.43,162.52,164.73,160.67,157.12,165.55,161.15,158.51,160.77,164.95,159.41,160.75,159.15,163.65,168.24,163.23,154.74,167.62,159.48,162.94,161.37,163.22,161.32,163.81,156.09,162.97,166.99,162.58,163.33,161.51,162.23,163.9
8,10081,Drainage of pilonidal cyst    ,148.94,262.81,262.81,226.61,246.33,242.9,242.2,241.31,239.3,241.68,244.52,243.78,248.46,241.76,239.51,245.49,243.83,247.45,241.29,244.37,247.63,241.64,236.39,248.85,242.35,238.45,241.78,247.96,239.77,241.75,239.4,246.04,252.82,245.41,232.88,251.9,239.88,245.0,242.68,245.41,242.59,246.28,234.88,245.03,250.98,244.47,245.56,242.88,243.95,246.41
9,10120,Remove foreign body           ,78.42,150.2,150.2,127.38,139.81,137.65,137.21,136.65,135.38,136.88,138.67,138.2,141.16,136.93,135.51,139.28,138.24,140.52,136.63,138.58,140.63,136.85,133.54,141.4,137.3,134.85,136.94,140.84,135.68,136.93,135.44,139.63,143.9,139.23,131.33,143.32,135.75,138.97,137.51,139.23,137.45,139.78,132.59,138.99,142.74,138.64,139.33,137.64,138.31,139.86
